LinkID,SourceID,DestinationID,PeerID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,90,0,1,0,0,0,0
1,90,0,0,1,0,0,0,0
2,90,15,0,1,0,0,0,0
3,15,90,0,1,0,0,0,0
4,149,144,0,1,0,0,0,0
5,144,149,0,1,0,0,0,0
6,144,64,0,1,0,0,0,0
7,64,144,0,1,0,0,0,0
8,148,137,0,1,0,0,0,0
9,137,148,0,1,0,0,0,0
10,137,56,0,1,0,0,0,0
11,56,137,0,1,0,0,0,0
12,147,62,0,1,0,0,0,0
13,62,147,0,1,0,0,0,0
14,62,134,0,1,0,0,0,0
15,134,62,0,1,0,0,0,0
16,146,118,0,1,0,0,0,0
17,118,146,0,1,0,0,0,0
18,118,39,0,1,0,0,0,0
19,39,118,0,1,0,0,0,0
20,145,36,0,1,0,0,0,0
21,36,145,0,1,0,0,0,0
22,36,11,0,1,0,0,0,0
23,11,36,0,1,0,0,0,0
24,143,7,0,1,0,0,0,0
25,7,143,0,1,0,0,0,0
26,7,53,0,1,0,0,0,0
27,53,7,0,1,0,0,0,0
28,142,120,0,1,0,0,0,0
29,120,142,0,1,0,0,0,0
30,120,83,0,1,0,0,0,0
31,83,120,0,1,0,0,0,0
32,141,60,0,1,0,0,0,0
33,60,141,0,1,0,0,0,0
34,60,12,0,1,0,0,0,0
35,12,60,0,1,0,0,0,0
36,140,70,0,1,0,0,0,0
37,70,140,0,1,0,0,0,0
38,70,47,0,1,0,0,0,0
39,47,70,0,1,0,0,0,0
40,139,148,0,1,0,0,0,0
41,148,139,0,1,0,0,0,0
42,138,21,0,1,0,0,0,0
43,21,138,0,1,0,0,0,0
44,21,34,0,1,0,0,0,0
45,34,21,0,1,0,0,0,0
46,136,98,0,1,0,0,0,0
47,98,136,0,1,0,0,0,0
48,98,99,0,1,0,0,0,0
49,99,98,0,1,0,0,0,0
50,135,116,0,1,0,0,0,0
51,116,135,0,1,0,0,0,0
52,116,125,0,1,0,0,0,0
53,125,116,0,1,0,0,0,0
54,134,145,0,1,0,0,0,0
55,145,134,0,1,0,0,0,0
56,133,61,0,1,0,0,0,0
57,61,133,0,1,0,0,0,0
58,61,5,0,1,0,0,0,0
59,5,61,0,1,0,0,0,0
60,132,6,0,1,0,0,0,0
61,6,132,0,1,0,0,0,0
62,6,79,0,1,0,0,0,0
63,79,6,0,1,0,0,0,0
64,131,50,0,1,0,0,0,0
65,50,131,0,1,0,0,0,0
66,50,63,0,1,0,0,0,0
67,63,50,0,1,0,0,0,0
68,130,55,0,1,0,0,0,0
69,55,130,0,1,0,0,0,0
70,55,141,0,1,0,0,0,0
71,141,55,0,1,0,0,0,0
72,129,3,0,1,0,0,0,0
73,3,129,0,1,0,0,0,0
74,3,35,0,1,0,0,0,0
75,35,3,0,1,0,0,0,0
76,128,0,0,1,0,0,0,0
77,0,128,0,1,0,0,0,0
78,127,146,0,1,0,0,0,0
79,146,127,0,1,0,0,0,0
80,126,38,0,1,0,0,0,0
81,38,126,0,1,0,0,0,0
82,38,122,0,1,0,0,0,0
83,122,38,0,1,0,0,0,0
84,125,75,0,1,0,0,0,0
85,75,125,0,1,0,0,0,0
86,124,31,0,1,0,0,0,0
87,31,124,0,1,0,0,0,0
88,31,1,0,1,0,0,0,0
89,1,31,0,1,0,0,0,0
90,123,27,0,1,0,0,0,0
91,27,123,0,1,0,0,0,0
92,27,101,0,1,0,0,0,0
93,101,27,0,1,0,0,0,0
94,122,88,0,1,0,0,0,0
95,88,122,0,1,0,0,0,0
96,121,109,0,1,0,0,0,0
97,109,121,0,1,0,0,0,0
98,109,117,0,1,0,0,0,0
99,117,109,0,1,0,0,0,0
100,119,105,0,1,0,0,0,0
101,105,119,0,1,0,0,0,0
102,105,24,0,1,0,0,0,0
103,24,105,0,1,0,0,0,0
104,117,41,0,1,0,0,0,0
105,41,117,0,1,0,0,0,0
106,115,140,0,1,0,0,0,0
107,140,115,0,1,0,0,0,0
108,114,37,0,1,0,0,0,0
109,37,114,0,1,0,0,0,0
110,37,94,0,1,0,0,0,0
111,94,37,0,1,0,0,0,0
112,113,71,0,1,0,0,0,0
113,71,113,0,1,0,0,0,0
114,71,111,0,1,0,0,0,0
115,111,71,0,1,0,0,0,0
116,112,67,0,1,0,0,0,0
117,67,112,0,1,0,0,0,0
118,67,139,0,1,0,0,0,0
119,139,67,0,1,0,0,0,0
120,111,10,0,1,0,0,0,0
121,10,111,0,1,0,0,0,0
122,110,81,0,1,0,0,0,0
123,81,110,0,1,0,0,0,0
124,81,84,0,1,0,0,0,0
125,84,81,0,1,0,0,0,0
126,108,51,0,1,0,0,0,0
127,51,108,0,1,0,0,0,0
128,51,57,0,1,0,0,0,0
129,57,51,0,1,0,0,0,0
130,107,149,0,1,0,0,0,0
131,149,107,0,1,0,0,0,0
132,106,82,0,1,0,0,0,0
133,82,106,0,1,0,0,0,0
134,82,45,0,1,0,0,0,0
135,45,82,0,1,0,0,0,0
136,104,20,0,1,0,0,0,0
137,20,104,0,1,0,0,0,0
138,20,119,0,1,0,0,0,0
139,119,20,0,1,0,0,0,0
140,103,110,0,1,0,0,0,0
141,110,103,0,1,0,0,0,0
142,102,132,0,1,0,0,0,0
143,132,102,0,1,0,0,0,0
144,101,77,0,1,0,0,0,0
145,77,101,0,1,0,0,0,0
146,100,106,0,1,0,0,0,0
147,106,100,0,1,0,0,0,0
148,99,14,0,1,0,0,0,0
149,14,99,0,1,0,0,0,0
150,97,103,0,1,0,0,0,0
151,103,97,0,1,0,0,0,0
152,96,138,0,1,0,0,0,0
153,138,96,0,1,0,0,0,0
154,95,128,0,1,0,0,0,0
155,128,95,0,1,0,0,0,0
156,94,13,0,1,0,0,0,0
157,13,94,0,1,0,0,0,0
