LinkID,SourceID,DestinationID,PeerID,Cost,Bandwidth,Delay,SRLGNum,SRLGs
0,0,249,0,1,0,0,0,0
1,249,0,0,1,0,0,0,0
2,249,51,0,1,0,0,0,0
3,51,249,0,1,0,0,0,0
4,248,150,0,1,0,0,0,0
5,150,248,0,1,0,0,0,0
6,150,4,0,1,0,0,0,0
7,4,150,0,1,0,0,0,0
8,247,160,0,1,0,0,0,0
9,160,247,0,1,0,0,0,0
10,160,96,0,1,0,0,0,0
11,96,160,0,1,0,0,0,0
12,246,54,0,1,0,0,0,0
13,54,246,0,1,0,0,0,0
14,54,166,0,1,0,0,0,0
15,166,54,0,1,0,0,0,0
16,245,108,0,1,0,0,0,0
17,108,245,0,1,0,0,0,0
18,108,156,0,1,0,0,0,0
19,156,108,0,1,0,0,0,0
20,244,105,0,1,0,0,0,0
21,105,244,0,1,0,0,0,0
22,105,204,0,1,0,0,0,0
23,204,105,0,1,0,0,0,0
24,243,113,0,1,0,0,0,0
25,113,243,0,1,0,0,0,0
26,113,52,0,1,0,0,0,0
27,52,113,0,1,0,0,0,0
28,242,126,0,1,0,0,0,0
29,126,242,0,1,0,0,0,0
30,126,79,0,1,0,0,0,0
31,79,126,0,1,0,0,0,0
32,241,139,0,1,0,0,0,0
33,139,241,0,1,0,0,0,0
34,139,98,0,1,0,0,0,0
35,98,139,0,1,0,0,0,0
36,240,164,0,1,0,0,0,0
37,164,240,0,1,0,0,0,0
38,164,177,0,1,0,0,0,0
39,177,164,0,1,0,0,0,0
40,239,15,0,1,0,0,0,0
41,15,239,0,1,0,0,0,0
42,15,140,0,1,0,0,0,0
43,140,15,0,1,0,0,0,0
44,238,207,0,1,0,0,0,0
45,207,238,0,1,0,0,0,0
46,207,97,0,1,0,0,0,0
47,97,207,0,1,0,0,0,0
48,237,209,0,1,0,0,0,0
49,209,237,0,1,0,0,0,0
50,209,70,0,1,0,0,0,0
51,70,209,0,1,0,0,0,0
52,236,86,0,1,0,0,0,0
53,86,236,0,1,0,0,0,0
54,86,32,0,1,0,0,0,0
55,32,86,0,1,0,0,0,0
56,235,82,0,1,0,0,0,0
57,82,235,0,1,0,0,0,0
58,82,11,0,1,0,0,0,0
59,11,82,0,1,0,0,0,0
60,234,123,0,1,0,0,0,0
61,123,234,0,1,0,0,0,0
62,123,64,0,1,0,0,0,0
63,64,123,0,1,0,0,0,0
64,233,243,0,1,0,0,0,0
65,243,233,0,1,0,0,0,0
66,232,117,0,1,0,0,0,0
67,117,232,0,1,0,0,0,0
68,117,10,0,1,0,0,0,0
69,10,117,0,1,0,0,0,0
70,231,175,0,1,0,0,0,0
71,175,231,0,1,0,0,0,0
72,175,147,0,1,0,0,0,0
73,147,175,0,1,0,0,0,0
74,230,69,0,1,0,0,0,0
75,69,230,0,1,0,0,0,0
76,69,210,0,1,0,0,0,0
77,210,69,0,1,0,0,0,0
78,229,28,0,1,0,0,0,0
79,28,229,0,1,0,0,0,0
80,28,218,0,1,0,0,0,0
81,218,28,0,1,0,0,0,0
82,228,239,0,1,0,0,0,0
83,239,228,0,1,0,0,0,0
84,227,46,0,1,0,0,0,0
85,46,227,0,1,0,0,0,0
